# device_serial=FLMS13217
# frame_number=222
# integration_time_us=50000
# timestamp_ns=1778614513732568000
# axis_units=nm
# value_units=counts
wavelength_nm,intensity
296.8231,2476.75
297.1983,2462.11
297.5735,2454.79
297.9486,2457.23
298.3237,2513.35
298.6987,2449.91
299.0737,2437.71
299.4486,2413.3
299.8235,2449.91
300.1984,2354.74
300.5732,2454.79
300.9480,2474.31
301.3228,2466.99
301.6975,2449.91
302.0721,2471.87
302.4468,2413.3
302.8213,2466.99
303.1959,2445.03
303.5704,2440.15
303.9448,2437.71
304.3192,2525.55
304.6936,2454.79
305.0679,2447.47
305.4422,2469.43
305.8164,2464.55
306.1906,2430.39
306.5648,2466.99
306.9389,2445.03
307.3130,2449.91
307.6870,2486.51
308.0610,2459.67
308.4349,2503.59
308.8088,2447.47
309.1827,2445.03
309.5565,2454.79
309.9303,2445.03
310.3040,2408.42
310.6777,2493.83
311.0513,2457.23
311.4250,2466.99
311.7985,2510.91
312.1720,2518.23
312.5455,2510.91
312.9190,2493.83
313.2923,2488.95
313.6657,2515.79
314.0390,2527.99
314.4123,2437.71
314.7855,2408.42
315.1587,2391.34
315.5318,2391.34
315.9049,2430.39
316.2780,2405.98
316.6510,2366.94
317.0240,2459.67
317.3969,2445.03
317.7698,2440.15
318.1426,2491.39
318.5154,2462.11
318.8882,2449.91
319.2609,2481.63
319.6336,2430.39
320.0062,2418.18
320.3788,2447.47
320.7513,2532.87
321.1238,2466.99
321.4963,2420.62
321.8687,2425.51
322.2411,2493.83
322.6134,2525.55
322.9857,2420.62
323.3579,2488.95
323.7301,2447.47
324.1023,2457.23
324.4744,2493.83
324.8465,2454.79
325.2185,2469.43
325.5905,2449.91
325.9625,2493.83
326.3344,2442.59
326.7062,2437.71
327.0780,2459.67
327.4498,2527.99
327.8215,2413.3
328.1932,2515.79
328.5649,2386.46
328.9365,2474.31
329.3080,2498.71
329.6796,2418.18
330.0510,2440.15
330.4225,2481.63
330.7938,2437.71
331.1652,2454.79
331.5365,2405.98
331.9078,2430.39
332.2790,2476.75
332.6501,2474.31
333.0213,2413.3
333.3924,2466.99
333.7634,2454.79
334.1344,2527.99
334.5054,2452.35
334.8763,2466.99
335.2471,2454.79
335.6180,2423.06
335.9888,2445.03
336.3595,2476.75
336.7302,2503.59
337.1009,2506.03
337.4715,2457.23
337.8420,2530.43
338.2126,2484.07
338.5830,2462.11
338.9535,2449.91
339.3239,2484.07
339.6942,2369.38
340.0645,2506.03
340.4348,2520.67
340.8050,2410.86
341.1752,2462.11
341.5453,2469.43
341.9154,2459.67
342.2855,2462.11
342.6555,2474.31
343.0254,2510.91
343.3954,2464.55
343.7652,2381.58
344.1351,2403.54
344.5049,2481.63
344.8746,2466.99
345.2443,2510.91
345.6140,2401.1
345.9836,2476.75
346.3531,2423.06
346.7227,2435.27
347.0922,2432.83
347.4616,2479.19
347.8310,2484.07
348.2003,2457.23
348.5697,2506.03
348.9389,2447.47
349.3081,2484.07
349.6773,2462.11
350.0465,2459.67
350.4155,2420.62
350.7846,2513.35
351.1536,2462.11
351.5226,2535.31
351.8915,2513.35
352.2603,2469.43
352.6292,2457.23
352.9980,2466.99
353.3667,2518.23
353.7354,2501.15
354.1040,2420.62
354.4726,2479.19
354.8412,2425.51
355.2097,2464.55
355.5782,2452.35
355.9466,2430.39
356.3150,2532.87
356.6834,2388.9
357.0517,2462.11
357.4199,2432.83
357.7882,2474.31
358.1563,2506.03
358.5244,2484.07
358.8925,2486.51
359.2606,2491.39
359.6286,2535.31
359.9965,2449.91
360.3644,2559.71
360.7323,2430.39
361.1001,2491.39
361.4679,2508.47
361.8356,2445.03
362.2033,2447.47
362.5709,2430.39
362.9385,2437.71
363.3061,2425.51
363.6736,2491.39
364.0410,2474.31
364.4085,2488.95
364.7758,2464.55
365.1432,2413.3
365.5105,2506.03
365.8777,2491.39
366.2449,2415.74
366.6121,2427.95
366.9792,2471.87
367.3462,2415.74
367.7133,2481.63
368.0802,2457.23
368.4472,2440.15
368.8141,2418.18
369.1809,2462.11
369.5477,2413.3
369.9144,2464.55
370.2812,2454.79
370.6478,2440.15
371.0144,2462.11
371.3810,2510.91
371.7476,2462.11
372.1140,2442.59
372.4805,2464.55
372.8469,2447.47
373.2132,2427.95
373.5796,2525.55
373.9458,2496.27
374.3120,2476.75
374.6782,2498.71
375.0444,2459.67
375.4104,2488.95
375.7765,2484.07
376.1425,2445.03
376.5084,2445.03
376.8743,2484.07
377.2402,2484.07
377.6060,2491.39
377.9718,2501.15
378.3375,2427.95
378.7032,2510.91
379.0689,2437.71
379.4345,2379.14
379.8000,2491.39
380.1655,2488.95
380.5310,2466.99
380.8964,2454.79
381.2618,2435.27
381.6271,2432.83
381.9924,2449.91
382.3576,2420.62
382.7228,2486.51
383.0880,2466.99
383.4531,2506.03
383.8181,2484.07
384.1831,2484.07
384.5481,2484.07
384.9130,2459.67
385.2779,2498.71
385.6427,2486.51
386.0075,2476.75
386.3723,2471.87
386.7370,2508.47
387.1016,2435.27
387.4662,2479.19
387.8308,2508.47
388.1953,2447.47
388.5598,2498.71
388.9242,2496.27
389.2886,2454.79
389.6529,2513.35
390.0172,2503.59
390.3815,2435.27
390.7457,2445.03
391.1098,2506.03
391.4739,2447.47
391.8380,2442.59
392.2020,2501.15
392.5660,2423.06
392.9299,2484.07
393.2938,2503.59
393.6577,2432.83
394.0215,2457.23
394.3852,2403.54
394.7489,2466.99
395.1126,2520.67
395.4762,2432.83
395.8398,2449.91
396.2033,2374.26
396.5668,2440.15
396.9302,2506.03
397.2936,2491.39
397.6569,2484.07
398.0202,2471.87
398.3835,2420.62
398.7467,2537.75
399.1098,2481.63
399.4729,2501.15
399.8360,2515.79
400.1990,2464.55
400.5620,2503.59
400.9249,2486.51
401.2878,2486.51
401.6507,2479.19
402.0135,2462.11
402.3762,2437.71
402.7389,2542.63
403.1016,2552.39
403.4642,2459.67
403.8268,2476.75
404.1893,2479.19
404.5518,2491.39
404.9142,2466.99
405.2766,2401.1
405.6389,2503.59
406.0012,2474.31
406.3635,2413.3
406.7257,2415.74
407.0878,2430.39
407.4499,2403.54
407.8120,2447.47
408.1740,2457.23
408.5360,2554.83
408.8979,2518.23
409.2598,2481.63
409.6216,2484.07
409.9834,2493.83
410.3452,2362.06
410.7069,2454.79
411.0685,2496.27
411.4301,2418.18
411.7917,2442.59
412.1532,2523.11
412.5147,2501.15
412.8761,2508.47
413.2375,2469.43
413.5988,2506.03
413.9601,2520.67
414.3213,2462.11
414.6825,2498.71
415.0437,2415.74
415.4048,2479.19
415.7658,2432.83
416.1268,2418.18
416.4878,2405.98
416.8487,2437.71
417.2096,2493.83
417.5704,2442.59
417.9312,2484.07
418.2919,2452.35
418.6526,2479.19
419.0132,2481.63
419.3738,2427.95
419.7344,2486.51
420.0949,2501.15
420.4553,2435.27
420.8157,2481.63
421.1761,2454.79
421.5364,2415.74
421.8967,2471.87
422.2569,2481.63
422.6171,2398.66
422.9772,2496.27
423.3373,2481.63
423.6973,2442.59
424.0573,2462.11
424.4173,2474.31
424.7772,2454.79
425.1370,2520.67
425.4968,2457.23
425.8566,2471.87
